ds_id,range_min,range_max
2024-04-25_01h04m51s,245.722007,1199.955836
2024-04-25_01h05m55s,245.722316,1198.963012
2024-04-25_01h05m18s,246.52835,1198.948316
2024-04-25_01h03m19s,246.52835,1198.940968
2024-04-25_01h02m39s,246.52835,1198.948316
2024-04-25_01h03m03s,246.52866,1198.955664
2024-04-25_01h01m59s,245.721698,1198.948316
2024-04-25_00h56m23s,245.719229,1198.940968
2024-04-25_00h55m32s,239.920725,1099.298834
2024-04-25_00h55m22s,239.920725,1099.317773
2024-04-25_00h55m09s,239.920725,1099.298834
2024-04-25_00h54m36s,240.258277,1099.317773
2024-04-25_00h53m43s,239.920725,1099.292521
2024-04-25_00h53m16s,239.920725,1099.31146
2024-04-25_00h54m03s,239.920725,1099.31146
2024-04-25_00h54m19s,240.257976,1099.292521
2024-04-25_00h52m15s,239.920725,1099.380906
2024-04-25_00h51m41s,239.920725,1099.298834
2024-04-25_00h52m45s,239.920725,1099.305147
2024-04-25_00h51m26s,239.920725,1099.292521
2024-04-25_00h48m53s,239.814751,1098.815642
2024-04-25_00h49m57s,239.920646,1098.803122
2024-04-25_00h49m24s,239.814751,1098.803122
2024-04-25_00h50m21s,239.814751,1098.796863
2024-04-25_00h46m31s,239.814453,1098.821901
2024-04-25_00h46m01s,239.814453,1098.815642
2024-04-25_00h45m33s,239.920646,1098.815642
2024-04-25_00h46m13s,239.814751,1098.803122
2024-04-25_00h42m32s,245.719483,1199.43881
2024-04-25_00h41m02s,248.169661,1199.424049
2024-04-25_00h45m18s,239.920646,1098.803122
2024-04-25_00h43m17s,239.920646,1098.803122
2024-04-25_00h39m40s,248.361281,1199.424049
2024-04-25_00h40m15s,245.719173,1199.43143
2024-04-25_00h39m00s,245.694705,1199.424049
2024-04-25_00h37m39s,246.529049,1199.43143
2024-04-25_00h37m07s,249.650829,1199.43143
2024-04-25_00h35m51s,247.762109,1199.43143
2024-04-25_00h36m11s,245.719173,1199.43143
2024-04-25_00h36m33s,245.694705,1199.43143
2024-04-24_15h18m58s,500.0097961425781,1199.9931640625
2024-04-24_14h31m09s,500.0056457519531,1199.9954833984375
2024-04-17_15h30m27s,300.990898,1599.998561
2024-04-12_13h07m30s,69.996231079102,999.9658203125
2024-04-12_12h00m00s,69.99617767334,999.965270996094
2024-04-12_11h54m39s,69.996269226074,999.965698242188
2024-04-12_11h48m00s,69.996246337891,999.965698242188
2024-04-12_10h06m04s,69.996704101563,999.962707519531
2024-04-12_10h02m39s,69.996612548828,999.967529296875
2024-04-12_09h56m37s,69.996597290039,999.963928222656
2024-04-12_10h02m46s,69.996704101563,999.967834472656
2024-04-12_09h58m46s,69.996520996094,999.968200683594
2024-04-12_09h54m11s,69.996887207031,999.966491699219
2024-04-12_09h51m19s,69.996810913086,999.968872070313
2024-04-12_09h41m36s,69.996963500977,999.967041015625
2024-04-12_09h03m46s,69.996711730957,999.969848632813
2024-04-12_08h55m06s,69.996711730957,999.9677734375
2024-04-12_08h49m30s,69.996391296387,999.965881347656
2024-04-12_08h55m13s,69.996795654297,999.968322753906
2024-04-12_08h53m57s,69.997406005859,999.978637695313
2024-04-12_08h36m18s,69.996627807617,999.968994140625
2024-04-12_08h32m53s,69.996520996094,999.968139648438
2024-04-12_08h23m52s,69.996551513672,999.967346191406
2024-04-12_07h58m55s,69.996284484863,999.966491699219
2024-04-10_18h49m34s,70.000816345215,999.971557617188
2024-04-10_18h37m47s,70.001037597656,999.971069335938
2024-04-10_18h36m11s,70.000244140625,999.969177246094
2024-04-10_18h35m23s,70.000381469727,999.969177246094
2024-04-10_18h33m02s,70.000686645508,999.969421386719
2024-04-10_18h32m21s,69.305251911062,1010.061273808501
2024-04-10_18h31m51s,70.000373840332,999.969421386719
2024-04-10_18h29m55s,70.000419616699,999.969848632813
2024-04-10_18h26m43s,70.000556945801,999.969604492188
2024-04-10_18h24m30s,70.000869750977,999.968994140625
2024-04-10_18h20m52s,70.000442504883,999.969116210938
2024-04-10_18h10m55s,70.000732421875,999.977600097656
2024-04-10_18h09m46s,70.000221252441,999.96337890625
2024-04-10_18h04m26s,70.000747680664,999.976867675781
2024-04-10_18h04m12s,70.000877380371,999.980834960938
2024-04-10_17h56m17s,70.001068115234,999.981994628906
2024-04-10_17h56m06s,70.001136779785,999.980895996094
2024-04-10_17h47m22s,70.001113891602,999.979858398438
2024-04-10_17h34m16s,70.000770568848,999.97607421875
2024-04-10_17h06m19s,70.000801086426,999.975463867188
2024-04-10_15h27m01s,70.000816345215,999.971557617188
2024-04-04_23h53m54s,100.0013427734375,999.6962890625
2024-04-03_10h09m53s,50.0025,999.98
2024-04-03_09h59m47s,50.0025,999.98
2024-04-03_10h07m28s,50.0025,999.98
2024-04-03_09h50m50s,50.0025,999.98
2024-04-03_01h17m03s,50.0025,650.0
2024-04-02_18h48m50s,240.25832,1099.794514
2024-04-02_18h49m17s,239.785359,1099.794514
2024-04-02_18h43m59s,239.921274,1099.794514
2024-04-02_18h45m20s,239.952091,1099.80074
2024-04-02_18h44m50s,239.785655,1099.794514
2024-04-02_06h20m48s,239.785655,1099.794514
2024-03-27_21h11m49s,239.815293,1099.77374
2024-03-27_21h12m40s,239.815569,1099.77374
2024-03-27_21h12m19s,239.815569,1099.76794
2024-03-27_21h11m09s,239.581915,1099.936174
2024-03-27_21h09m34s,239.920145,1099.77374
2024-03-27_21h10m30s,239.815569,1099.77374
2024-03-27_21h10m09s,239.920421,1099.779541
2024-03-27_21h08m01s,239.815569,1099.77374
2024-03-27_21h06m29s,239.920145,1099.76794
2024-03-27_21h05m57s,239.920145,1099.77374
2024-03-27_21h04m48s,239.815569,1099.77374
2024-03-26_16h46m31s,99.9981918334961,1498.0828857421875
2024-03-26_16h40m02s,99.99842834472656,1499.5435791015625
2024-02-27_17h29m40s,203.224718,1499.812512
2024-03-21_17h29m41s,-7.247910496603616e-13,305368.59375
2024-03-21_17h15m07s,-6.166425887547634e+23,23069.41796875
2024-03-21_17h13m08s,-3.1521730422973633,305368.59375
2024-02-14_12h00m03s,99.007602858763,404.029961349849
2024-03-19_17h08m03s,100.0,1700.0000000000002
2024-03-15_18h17m52s,69.99877166748047,499.2523193359375
2024-03-15_18h17m07s,69.99897766113281,499.3389892578125
2024-03-01_17h53m59s,99.9762869745343,1200.1885463981876
2024-03-13_22h48m05s,100.00099182128906,999.6431884765625
2024-03-13_22h43m49s,100.00094604492188,999.5288696289062
2024-03-13_22h41m10s,100.00093841552734,998.7171630859375
2024-03-13_22h36m52s,100.00102996826172,998.6907348632812
2024-03-13_22h31m24s,100.00094604492188,999.3440551757812
2024-03-13_22h21m21s,100.00115966796875,999.6788330078125
2024-03-12_17h57m30s,100.0008544921875,999.6539306640625
2024-03-12_17h49m11s,100.00092315673828,998.7154541015625
2024-03-12_17h45m02s,100.00093841552734,998.2677612304688
2024-03-12_10h10m26s,100.0,2000.0
2024-03-07_13h46m50s,1000.0,2000.0
2024-03-11_10h26m01s,1500.0,2000.0
2024-03-11_16h53m05s,100.0,1700.0
2024-03-04_14h47m29s,1000.0,1700.0
2024-03-11_10h53m57s,100.0,1700.0
2024-03-07_09h25m45s,67.00013219093863,1004.9891825192201
2024-03-04_16h41m24s,100.0,999.9999999999999
2024-03-04_10h19m16s,100.0,999.9999999999999
2024-03-04_10h26m27s,1000.0,1700.0
2024-02-20_01h55m56s,102.027331,999.948932
2024-02-20_01h57m32s,102.027464,999.948932
2024-02-20_01h54m01s,103.724051,999.935998
2024-03-01_11h41m21s,100.0,999.9999999999999
2024-03-01_11h19m04s,100.0,1700.0000000000002
2024-03-01_10h34m05s,100.0,1700.0000000000002
2024-03-01_01h50m28s,246.528953,1199.476134
