hmdb_primary,polar_surface_area,polarizability
HMDB0000402,94.83,16.37
HMDB0000403,100.71,13.36
HMDB0000404,97.99,47.13
HMDB0000405,49.69,35.2
HMDB0000406,57.53,32.35
HMDB0000407,57.53,11.77
HMDB0000408,54.37,12.95
HMDB0000409,57.53,14.02
HMDB0000410,57.53,11.8
HMDB0000411,77.76,46.16
HMDB0000412,40.46,35.45
HMDB0000413,94.83,27.58
HMDB0000414,97.99,47.11
HMDB0000415,97.99,47.31
HMDB0000416,100.9,44.61
HMDB0000417,37.3,40.96
HMDB0000418,115.06,40.12
HMDB0000419,97.99,46.93
HMDB0000421,77.76,12.72
HMDB0000422,74.6,13.96
HMDB0000423,77.76,17.85
HMDB0000424,94.83,23.38
HMDB0000425,175.75,23.7
HMDB0000426,94.83,12.69
HMDB0000427,97.99,47.5
HMDB0000428,94.83,12.81
HMDB0000429,40.46,31.93
HMDB0000430,60.69,51.15
HMDB0000431,60.69,32.95
HMDB0000432,97.99,47.35
HMDB0000433,118.22,48.24
HMDB0000434,55.76,19.74
HMDB0000437,118.22,47.78
HMDB0000438,77.76,46.16
HMDB0000439,79.54,15.36
HMDB0000440,57.53,14.78
HMDB0000442,57.53,9.94
HMDB0000444,50.44,9.68
HMDB0000445,344.31,64.14
HMDB0000446,92.42,19.96
HMDB0000447,94.83,45.67
HMDB0000448,74.6,14.24
HMDB0000449,77.76,40.16
HMDB0000450,109.57,16.55
HMDB0000451,57.53,16.85
HMDB0000452,63.32,10.34
HMDB0000453,26.3,12.12
HMDB0000455,126.64,22.24
HMDB0000458,40.46,35.17
HMDB0000459,66.4,15.79
HMDB0000460,74.6,45.9
HMDB0000462,113.32,12.89
HMDB0000464,0.0,1.78
HMDB0000466,15.79,14.95
HMDB0000467,74.6,44.94
HMDB0000468,132.66,22.47
HMDB0000469,78.43,12.34
HMDB0000472,99.34,22.03
HMDB0000473,57.7,16.32
HMDB0000474,17.07,8.28
HMDB0000476,54.37,43.86
HMDB0000477,37.3,31.67
HMDB0000478,77.76,46.44
HMDB0000479,81.14,16.58
HMDB0000481,129.2,24.35
HMDB0000482,37.3,17.4
HMDB0000483,101.15,53.41
HMDB0000484,66.76,15.86
HMDB0000486,57.53,18.24
HMDB0000488,164.38,65.37
HMDB0000489,191.44,31.8
HMDB0000490,37.3,34.36
HMDB0000491,54.37,13.09
HMDB0000492,0.0,2.39
HMDB0000493,40.46,35.56
HMDB0000494,20.23,54.93
HMDB0000495,40.46,35.34
HMDB0000496,166.14,33.7
HMDB0000497,119.33,22.98
HMDB0000498,77.76,10.74
HMDB0000499,37.3,29.14
HMDB0000500,57.53,12.94
HMDB0000501,37.3,50.9
HMDB0000502,94.83,46.23
HMDB0000503,74.6,45.49
HMDB0000505,97.99,47.2
HMDB0000506,97.99,47.22
HMDB0000508,101.15,14.38
HMDB0000509,37.3,10.25
HMDB0000510,100.62,15.53
HMDB0000511,37.3,21.61
HMDB0000512,66.4,21.21
HMDB0000513,101.15,53.9
HMDB0000514,77.76,46.57
HMDB0000517,125.22,17.8
HMDB0000518,77.76,46.35
HMDB0000520,80.92,53.42
HMDB0000521,37.3,28.74
HMDB0000522,74.6,13.27
HMDB0000523,60.69,35.8
HMDB0000524,80.92,53.16
HMDB0000525,57.53,14.06
HMDB0000526,97.99,41.32
HMDB0000527,97.99,47.38
HMDB0000528,95.5,13.09
HMDB0000529,37.3,24.53
HMDB0000530,77.76,33.21
HMDB0000531,57.53,11.95
HMDB0000532,66.4,10.69
HMDB0000534,20.23,52.93
HMDB0000535,37.3,13.27
HMDB0000536,246.68,39.41
HMDB0000538,279.13,38.92
HMDB0000539,118.22,14.38
HMDB0000540,60.69,35.77
HMDB0000541,60.44,47.31
HMDB0000542,100.71,13.45
HMDB0000543,37.3,17.99
HMDB0000544,78.43,14.31
HMDB0000545,164.5,56.45
HMDB0000546,37.3,34.65
HMDB0000547,0.0,1.78
HMDB0000548,78.9,70.75
HMDB0000549,26.3,8.23
HMDB0000550,60.69,35.87
HMDB0000551,40.46,35.2
HMDB0000552,103.73,29.55
HMDB0000553,37.3,41.0
HMDB0000554,40.46,35.25
HMDB0000555,74.6,15.9
HMDB0000556,101.15,54.02
HMDB0000557,63.32,14.23
HMDB0000558,101.15,53.69
HMDB0000559,113.29,24.14
HMDB0000560,37.3,27.53
HMDB0000561,0.0,72.05
HMDB0000562,56.19,10.74
HMDB0000563,57.53,16.7
HMDB0000564,111.19,92.0
HMDB0000565,138.45,17.07
HMDB0000567,37.3,15.03
HMDB0000568,101.15,14.28
HMDB0000569,216.9,42.08
HMDB0000570,206.56,73.93
HMDB0000572,257.16,56.09
HMDB0000573,37.3,37.64
HMDB0000574,63.32,11.41
HMDB0000575,126.64,26.92
HMDB0000576,63.6,12.29
HMDB0000577,20.23,50.82
HMDB0000579,131.96,58.99
HMDB0000580,NA,NA
HMDB0000582,92.78,38.7
HMDB0000583,43.09,47.63
HMDB0000585,267.87,46.29
HMDB0000586,0.0,1.78
HMDB0000588,0.0,1.78
HMDB0000590,103.7,17.68
HMDB0000592,159.54,22.38
HMDB0000593,111.19,96.57
HMDB0000594,129.72,29.7
HMDB0000595,57.53,4.23
HMDB0000596,145.63,55.15
HMDB0000598,0.0,2.93
HMDB0000599,0.0,1.78
HMDB0000600,176.94,31.94
HMDB0000601,97.99,53.32
HMDB0000603,74.6,21.3
HMDB0000606,94.83,12.97
HMDB0000607,487.61,137.36
