name_short,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
Aspartic acid,4.208115674739658,3.737620562656972,2.5454130664454153,2.519447484883192,4.342871696654634,0.0,3.086750064680912,0.0,0.0,4.244110968289964,1.306338739142017,3.4143450943723117
Carnosine,5.08200779862078,4.7373494054071354,3.65805519519461,3.9526719626311695,4.5445431761196735,3.6542389794989814,4.503613445421966,0.0,0.0,4.8661395684416835,0.0,4.475227350854433
Citrulline,4.09084440993494,4.486321382493928,3.2677539470643304,4.087221877002554,4.104265369231775,2.219910962566474,4.138901217126908,0.0,0.0,4.1313856429183256,0.0,3.867575841126776
Creatine,2.8886210137553987,4.529666835955426,3.257199016568056,3.6553204726946404,3.5570398541904313,3.530794175301705,4.420963596153217,0.0,0.0,3.339106086624239,0.0,3.800177561207723
Creatinine,3.463932998051824,4.514641454720677,3.8706547607928075,3.2163264295685723,4.078443528003781,3.3232773524753254,4.825139132551135,0.0,2.8664933053573898,4.161985022044176,2.977728099070606,4.445354267229799
Cysteine,2.641369768140955,3.59111001002983,0.0,2.926910090996749,3.538800881031721,2.4633647340993123,2.7677846032270335,2.4126785639702377,1.8618518674178606,3.6599579326240193,0.0,2.9830819144583987
Cystine,3.0412610344968245,2.7111072740765225,0.0,0.0,3.4116844244851157,0.0,2.8336100232832453,0.0,0.0,0.0,0.0,0.0
Dopamine,2.6664941592236446,3.663367969949769,2.727288017178788,3.1224990898019676,3.6946266025438748,3.3337095867186477,3.432267429800564,0.0,0.0,3.466756045553311,0.0,3.1589998408341775
Epinephrine,2.677103883488091,4.07281420742944,2.8573799917771034,2.8539369655237685,3.2774029132483484,2.9748910764100733,3.943600425337871,0.0,0.0,2.7481800777933802,0.0,2.9816860388144475
Glutamic acid,4.543663747937896,4.339802052661461,2.8164342496345323,3.1651000632630235,4.825482117631637,2.6424094533550906,3.69243421131531,0.0,0.0,4.430734159260701,0.0,3.5567301546515693
Glutamine,4.063376375247513,3.9810064362369184,2.8376311333442774,3.3552391217583923,4.439223927977644,3.393537562783378,3.650325401705888,0.0,0.0,3.7662039785884103,0.0,3.4629054140716886
Glutathione,3.9053559789982635,4.9954840469793655,4.127651473008657,4.600190404733087,4.493000239901677,3.9078260053737397,4.552162453317072,0.0,0.0,4.773075134750942,0.0,3.2690266428231043
Glycine,1.7817697815048323,2.7172911075637103,0.0,2.6995291189317365,0.0,1.6289611471964693,2.2507432605727358,0.0,0.0,1.3529634491283682,0.0,1.0883961975028953
Histidine,4.101199476583844,4.770938997635652,3.559121580212498,3.3492104874346666,4.366960797290762,2.7655084545866457,4.4239489844457145,0.0,0.0,4.697105901866103,2.3517433305579925,3.6804506206500913
Homocysteine,0.0,3.0653582539752753,0.0,2.544770072046693,3.512925542759475,2.152881552335368,2.487795883155808,0.0,0.0,2.7689784044496077,0.0,2.9564416891486287
Indole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kynurenine,2.5647331001824405,3.9805672698312646,3.1275623425368537,2.828684808472966,3.773657429391643,2.7600091513512317,4.124204109099168,2.3310040328393926,1.4498948136335446,2.673485777488017,0.0,3.4996335222852295
L-Dopa,2.730207868451544,3.5009795132231605,0.0,2.843111102521647,3.611785803689496,2.4564869445316093,3.7863000706812158,0.0,0.0,3.88613819107345,0.0,2.9520875943663274
Melatonin,1.7557578089672088,3.7462952625366555,3.6979430187279325,3.2961733123990817,3.771775651507611,3.436316412560301,4.281414510505423,0.0,2.5833256873401864,2.580439183365651,0.0,2.648918013545049
Methionine,2.7870869198414447,3.8723613885138617,2.336178812589262,2.4178304897553513,3.7623084753954577,1.8742054048170311,3.4725005774311053,0.0,0.0,2.8562086093733323,0.0,2.8234768244959367
N-Acetylaspartic acid,5.44490784014757,4.276643230132685,3.3276128870379886,3.3950068445192163,4.668216368163971,3.2049360384372205,3.842570610643221,3.4776994367868332,0.0,4.415048507819425,0.0,4.62160970607566
N-Acetylaspartylglutamic acid,4.51839092249477,4.970218852085905,4.031818024079676,4.60613412991387,4.506790531135473,3.8752212181747754,4.86266268051063,0.0,3.329512367484039,4.86489377383505,0.0,4.150869811217179
"N6,N6,N6-Trimethyllysine",5.0615058285104055,5.741328829408304,3.7177441179973627,4.049170421153684,3.9615788206375204,3.4537492170286423,5.077146983392861,0.0,3.581395491363495,4.816856901734265,0.0,4.85452111904655
Ornithine,2.254812102017839,4.197875712640728,3.0517177679989036,3.2289165542337126,3.5253179247792814,2.6400942862122156,3.5545770397163237,0.0,1.2595823644351636,3.0886782743317114,0.0,3.5107965064727598
Oxidized glutathione,5.547522191736174,5.5249097995510015,4.690418278252992,4.90350181173223,4.587713018654629,3.827648423039433,5.26879534784728,0.0,2.462047125966896,5.048941152511785,0.0,4.9086193645204865
Pantetheine,3.1138979180505144,4.704229411659607,3.4155706518520126,3.7587735551414205,4.051624123200013,3.3720398785513597,4.278806977721645,0.0,2.906298330515603,4.356814165995601,3.047350759069231,3.7244334939869987
