name_short,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
gamma-Aminobutyric acid,2.971589091277522,0.0,0.0,0.0,3.8082497199895156,0.0,0.0,0.0,0.0,2.6081547777918113,0.0,2.4610999154883078
6-Phosphogluconic acid,5.012308835041252,2.941372351658768,0.0,1.6288430156997347,0.0,0.0,2.435916827258794,0.0,0.0,3.904329392406726,0.0,1.6167305541740389
Dihydroxyacetone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydroxyacetone phosphate,4.29330833634685,2.4816384611876354,0.0,0.0,0.0,0.0,1.8197596473564017,0.0,0.0,3.9062152602330937,0.0,0.0
"Fructose 1,6-bisphosphate",5.577610157677287,3.2697890537098453,0.0,1.592437588961591,0.0,1.6875633823700387,3.3639676548735973,0.0,0.0,5.469448568312699,0.0,0.0
Gluconic acid,4.714115980594938,2.9165046396019014,2.4676288210103445,2.0036703042695043,3.948932585502616,2.7009217094002644,2.907591297706962,0.0,0.0,3.8202175563352943,0.0,2.7917463179353392
Glucosamine,0.0,0.0,0.0,0.0,1.307466021350899,0.0,0.0,0.0,1.8213241792822898,0.0,0.0,0.0
Glucosamine 6-phosphate,4.868475789298719,2.232642333801918,0.0,0.0,3.8101702936596893,2.414446245725863,1.9014267153778739,0.0,0.0,4.6751875765330135,0.0,3.248981939189647
Glucose,3.5630380761253044,0.0,0.0,0.0,3.422313090022221,1.693572333668024,0.0,0.0,0.0,3.5276331612894833,0.0,2.530340417561445
Glucose 6-phosphate,5.087413863450058,2.772617102552877,0.0,0.0,3.0416965454893368,0.0,0.0,0.0,0.0,4.740191180987268,0.0,2.773371722449688
Glycerol 3-phosphate,4.724261056382808,2.2921149913690417,0.0,0.0,2.7799113488088225,0.0,0.0,0.0,1.153833820503997,3.211554885564236,0.0,0.0
Myo-inositol 1-phosphate,5.187259868417889,2.8284556527871394,0.0,1.8247650198354601,2.1405904003400056,0.0,2.0558591151050227,0.0,0.0,3.566421758310789,0.0,2.352566071992955
N-Acetylgalactosamine 6-phosphate,4.488955451051042,0.0,0.0,1.5236185391450494,2.2382265865239552,1.6472136992230997,1.5523182795506743,0.0,0.0,4.103260307842667,0.0,0.0
N-Acetylglucosamine,3.7076340212092274,0.0,1.8600105748875615,1.3180720834029118,3.2029209329111454,0.0,0.0,0.0,0.0,3.2448300697102264,0.0,2.551260501769252
Ribose 5-phosphate,4.992236764337992,2.620317858202117,0.0,0.0,2.2207687071214846,1.8532465296854916,2.0528753537266677,0.0,0.0,4.419084424653432,0.0,1.8642650891876584
Ribulose,2.514232555669227,0.0,0.0,0.0,2.508697075261442,0.0,0.0,0.0,0.0,2.6737609005670833,0.0,2.251817837666885
Ribulose 5-phosphate,4.866126392151314,2.711968604810379,0.0,1.8769138862446613,3.540062032267266,2.248581833507929,2.3478396657157443,0.0,0.0,4.937509269380902,0.0,2.626974302962787
myo-Inositol,2.8644638578656383,1.0964381476938823,0.0,0.0,3.325652854939858,0.0,0.0,0.0,0.0,2.5045275685442547,0.0,2.1199895766773262
2-Oxoglutaric acid,4.814306627793246,3.173298237829419,2.9444915060048995,1.9534134708215005,3.829526267622287,3.174233810631274,2.9691741219692886,2.590950985182533,0.0,4.565696544556646,1.68230404781184,3.7901349791674126
3-Hydroxymethylglutaric acid,0.0,0.0,3.3100213033414287,2.7640513575848473,0.0,3.4621095455668427,0.0,3.685888362110946,2.5478249354679043,0.0,0.0,0.0
3-Phosphoglyceric acid,5.164587787189345,3.273381570635653,0.0,2.2666485698211445,2.5327275053940004,1.9486052501253226,2.7076206960841422,0.0,1.7430265197437271,4.767885572702078,0.0,2.154635681911425
Acetoacetic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascorbic acid,3.9789439936786417,3.2472035399054384,0.0,1.7866178134645478,3.9063397834559312,2.7367158502625806,3.0453801375690435,0.0,0.0,4.011976405829317,0.0,3.2596915005616975
Butyric acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citric acid,5.206625379926532,4.474266817092202,3.0871768879561547,2.6934529228946875,3.9526126844296186,3.111121311386245,3.7146885332641606,0.0,0.0,5.031637186305705,0.0,4.455216944275725
Fumaric acid,0.0,2.7437884782222257,3.289398226854618,1.7196571342163356,4.312143999988088,0.0,2.9803453063737866,3.077743670885945,2.162885677527172,4.611974839254772,2.529863854903606,3.949922642173372
Kynurenic acid,4.478279984472924,0.0,1.767127209124767,0.0,0.0,0.0,0.0,2.3408382119069118,2.4421201906083314,0.0,0.0,3.5669641010505395
Lactic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
