hmdb_primary,pka_strongest_acidic,pka_strongest_basic
HMDB0000614,1.47,9.38
HMDB0000617,-6.5,6.41
HMDB0000618,1.48,-3.3
HMDB0000619,4.48,-0.16
HMDB0000620,3.69,NA
HMDB0000621,10.29,-3.5
HMDB0000622,2.5,NA
HMDB0000623,4.65,NA
HMDB0000624,4.26,-3.8
HMDB0000625,3.39,-3.0
HMDB0000626,4.65,-0.35
HMDB0000628,19.09,-0.88
HMDB0000629,NA,NA
HMDB0000630,9.83,-0.06
HMDB0000631,3.77,-0.32
HMDB0000632,NA,NA
HMDB0000633,8.18,-1.4
HMDB0000634,2.5,NA
HMDB0000635,4.15,-7.2
HMDB0000637,3.77,-0.49
HMDB0000638,4.95,NA
HMDB0000639,2.83,-3.7
HMDB0000640,12.21,-3.6
HMDB0000641,2.15,9.31
HMDB0000642,4.51,-2.8
HMDB0000643,3.56,5.18
HMDB0000644,3.52,5.16
HMDB0000645,1.16,-3.0
HMDB0000646,11.31,-3.5
HMDB0000648,12.21,9.12
HMDB0000649,18.2,-1.4
HMDB0000650,2.62,9.53
HMDB0000651,4.22,-7.1
HMDB0000652,NA,NA
HMDB0000653,-1.4,NA
HMDB0000656,1.39,9.5
HMDB0000657,3.09,NA
HMDB0000658,NA,-7.0
HMDB0000659,-1.7,NA
HMDB0000660,10.28,-3.0
HMDB0000661,3.76,NA
HMDB0000662,3.17,NA
HMDB0000663,2.83,-3.7
HMDB0000664,4.79,-2.7
HMDB0000665,4.26,-3.8
HMDB0000666,5.15,NA
HMDB0000667,1.61,9.26
HMDB0000668,3.47,4.88
HMDB0000669,4.0,-6.0
HMDB0000670,2.49,12.3
HMDB0000671,4.14,-3.9
HMDB0000672,4.65,NA
HMDB0000673,4.99,NA
HMDB0000674,1.32,-6.7
HMDB0000675,NA,NA
HMDB0000676,1.8,9.8
HMDB0000678,4.17,-1.7
HMDB0000679,2.35,9.53
HMDB0000682,-1.8,NA
HMDB0000683,3.62,5.11
HMDB0000684,1.19,8.96
HMDB0000686,4.6,-0.54
HMDB0000687,2.79,9.52
HMDB0000688,4.34,-7.1
HMDB0000689,5.09,NA
HMDB0000691,2.43,NA
HMDB0000692,4.58,NA
HMDB0000693,-3.3,1.99
HMDB0000694,3.28,-3.8
HMDB0000695,3.53,-9.7
HMDB0000696,2.53,9.5
HMDB0000697,3.45,5.14
HMDB0000698,3.77,-1.1
HMDB0000699,12.24,-1.5
HMDB0000700,4.2,-2.5
HMDB0000701,4.25,-1.7
HMDB0000703,3.75,-4.1
HMDB0000704,8.37,-2.0
HMDB0000706,3.17,8.53
HMDB0000707,2.91,-6.0
HMDB0000708,3.77,-0.49
HMDB0000709,1.87,9.08
HMDB0000710,4.44,-2.4
HMDB0000711,4.42,-3.8
HMDB0000712,4.14,-7.1
HMDB0000713,4.79,-1.4
HMDB0000714,3.59,-1.3
HMDB0000715,3.17,-4.4
HMDB0000716,2.06,10.39
HMDB0000717,4.79,-1.4
HMDB0000718,5.01,NA
HMDB0000719,2.22,9.16
HMDB0000720,4.32,-7.3
HMDB0000721,3.61,8.13
HMDB0000722,-0.63,-1.1
HMDB0000725,1.64,10.62
HMDB0000726,3.72,-1.4
HMDB0000727,8.18,-1.4
HMDB0000728,3.2,5.13
HMDB0000729,3.95,-3.7
HMDB0000730,4.06,-1.8
HMDB0000731,-1.9,8.99
HMDB0000732,0.99,8.9
HMDB0000733,4.79,-2.7
HMDB0000734,4.65,NA
HMDB0000735,3.54,-2.9
HMDB0000736,4.27,-7.1
HMDB0000737,3.23,5.15
HMDB0000738,16.44,NA
HMDB0000739,1.04,10.12
HMDB0000740,10.28,-3.0
HMDB0000742,2.46,9.41
HMDB0000743,3.29,5.23
HMDB0000745,3.45,9.99
HMDB0000746,4.26,-3.8
HMDB0000747,4.21,-1.6
HMDB0000748,4.02,-3.8
HMDB0000749,3.72,NA
HMDB0000750,3.3,-4.1
HMDB0000751,10.29,-3.5
HMDB0000752,3.91,NA
HMDB0000753,NA,-7.3
HMDB0000754,4.55,-2.7
HMDB0000755,3.58,-3.8
HMDB0000756,4.22,-7.1
HMDB0000757,11.19,-3.7
HMDB0000759,3.89,8.14
HMDB0000760,4.6,-2.7
HMDB0000761,4.79,-1.4
HMDB0000763,4.22,-5.5
HMDB0000764,4.73,NA
HMDB0000765,12.59,-3.0
HMDB0000766,3.89,-2.0
HMDB0000767,8.66,-3.0
HMDB0000768,2.84,-1.3
HMDB0000770,12.19,-1.0
HMDB0000772,4.95,NA
HMDB0000773,3.0,-1.3
HMDB0000774,-1.4,-7.4
HMDB0000779,4.02,-3.8
HMDB0000780,3.26,5.21
HMDB0000781,-2.0,-1.4
HMDB0000782,4.65,NA
HMDB0000783,3.93,-2.0
HMDB0000784,4.15,NA
HMDB0000785,2.97,-1.3
HMDB0000786,6.25,-3.5
HMDB0000788,2.86,-3.0
HMDB0000789,3.31,5.15
HMDB0000791,4.22,-7.1
HMDB0000792,4.72,NA
HMDB0000793,0.79,9.25
HMDB0000794,2.84,-1.3
HMDB0000795,5.0,NA
HMDB0000796,2.97,-1.3
HMDB0000797,1.22,4.54
HMDB0000798,NA,-7.0
HMDB0000801,5.04,NA
HMDB0000802,10.0,-1.8
HMDB0000803,11.6,-1.6
HMDB0000806,4.95,NA
HMDB0000807,1.3,-4.2
HMDB0000808,4.06,-1.9
HMDB0000809,2.83,-3.7
HMDB0000810,15.54,4.78
HMDB0000811,4.79,-2.7
HMDB0000812,3.41,-2.0
HMDB0000814,-2.1,-1.4
HMDB0000815,3.2,5.13
HMDB0000816,1.14,NA
HMDB0000817,7.6,-2.4
HMDB0000819,9.99,9.06
HMDB0000820,16.85,-2.0
HMDB0000821,3.99,-2.9
HMDB0000822,3.3,-4.1
HMDB0000824,4.19,-7.1
HMDB0000825,2.84,-3.6
HMDB0000826,4.95,NA
HMDB0000827,4.95,NA
HMDB0000828,3.33,-2.6
HMDB0000830,2.72,8.25
HMDB0000832,4.05,-1.7
HMDB0000833,2.92,-3.0
HMDB0000839,14.81,5.13
HMDB0000840,3.27,-1.9
HMDB0000841,-2.0,-1.1
HMDB0000842,1.1,5.22
HMDB0000843,-2.5,-0.74
HMDB0000845,9.99,-2.2
HMDB0000847,5.23,NA
HMDB0000848,4.22,-7.1
HMDB0000849,11.3,-3.6
HMDB0000851,0.73,9.8
HMDB0000852,18.2,-1.4
HMDB0000853,11.6,-0.78
HMDB0000854,2.49,10.88
HMDB0000855,11.39,-1.6
HMDB0000856,3.87,-1.5
HMDB0000857,4.05,NA
HMDB0000858,4.22,-7.0
HMDB0000859,14.93,-1.3
HMDB0000860,4.0,-2.1
HMDB0000863,17.26,-1.8
HMDB0000865,4.6,-2.7
HMDB0000866,3.67,-2.0
HMDB0000867,3.39,-3.0
HMDB0000868,1.48,-3.3
HMDB0000869,10.87,4.76
HMDB0000870,14.46,9.58
HMDB0000871,NA,-7.4
HMDB0000872,4.65,NA
HMDB0000873,9.55,-6.2
HMDB0000874,-0.99,0.18
HMDB0000875,2.78,NA
HMDB0000876,18.38,-1.3
HMDB0000877,8.18,-1.4
HMDB0000878,18.27,-1.4
HMDB0000879,13.86,-1.4
HMDB0000881,1.14,5.75
HMDB0000883,2.72,9.6
HMDB0000884,9.95,-3.0
HMDB0000885,NA,-7.0
HMDB0000887,NA,NA
HMDB0000888,4.65,NA
HMDB0000889,-1.1,0.28
HMDB0000890,3.11,NA
HMDB0000892,5.01,NA
HMDB0000893,4.15,NA
HMDB0000894,3.98,-2.4
HMDB0000895,NA,-7.0
HMDB0000896,-0.75,-0.2
HMDB0000897,9.35,2.07
HMDB0000898,NA,9.57
HMDB0000899,19.78,-7.1
HMDB0000900,18.38,-1.3
HMDB0000901,3.41,-3.7
HMDB0000902,1.85,6.38
HMDB0000903,12.58,-1.4
HMDB0000904,2.27,9.23
HMDB0000905,1.23,3.94
HMDB0000906,NA,9.57
HMDB0000907,-1.3,NA
HMDB0000908,18.3,-1.4
HMDB0000909,4.65,-1.5
HMDB0000910,4.95,NA
HMDB0000912,3.14,4.58
HMDB0000913,3.37,-3.8
HMDB0000916,3.11,NA
HMDB0000917,4.48,-0.16
HMDB0000918,NA,-7.0
HMDB0000920,18.88,-0.26
HMDB0000921,19.09,-4.8
HMDB0000922,-0.88,-0.053
HMDB0000925,NA,4.66
HMDB0000926,NA,5.12
HMDB0000927,4.17,-1.7
HMDB0000929,2.54,9.4
HMDB0000930,4.51,NA
HMDB0000932,-0.98,0.084
HMDB0000933,4.72,NA
HMDB0000934,1.77,6.43
HMDB0000935,1.72,-3.7
HMDB0000936,3.16,NA
HMDB0000937,18.2,-1.4
HMDB0000939,1.81,9.5
HMDB0000940,11.66,-3.6
HMDB0000941,NA,NA
HMDB0000942,10.01,3.58
HMDB0000943,3.4,-3.0
HMDB0000944,4.95,NA
HMDB0000946,4.6,-0.54
HMDB0000947,4.95,NA
HMDB0000949,12.58,-1.4
HMDB0000950,13.62,-1.0
HMDB0000951,-0.8,-0.32
HMDB0000953,3.91,-1.7
HMDB0000954,3.77,-4.9
HMDB0000955,3.77,-4.9
HMDB0000956,2.72,-4.3
HMDB0000957,9.34,-6.3
HMDB0000958,3.15,NA
HMDB0000959,4.09,-0.49
HMDB0000960,1.79,0.44
HMDB0000961,1.77,NA
HMDB0000962,16.45,-1.4
HMDB0000963,1.16,-3.7
HMDB0000965,1.68,9.64
HMDB0000968,0.86,-3.7
HMDB0000969,12.5,-2.8
HMDB0000972,2.73,3.58
HMDB0000975,11.91,-3.0
HMDB0000977,4.12,-4.9
HMDB0000978,1.96,3.34
HMDB0000980,0.9,-1.5
HMDB0000981,19.83,-7.4
HMDB0000982,12.55,0.14
HMDB0000985,6.68,8.78
HMDB0000988,12.45,10.09
HMDB0000990,16.73,-6.9
HMDB0000991,2.89,9.53
HMDB0000992,3.36,4.0
HMDB0000994,1.16,-3.0
HMDB0000995,18.98,-4.6
HMDB0000996,1.12,9.09
HMDB0000998,0.95,-0.05
HMDB0000999,1.23,11.14
HMDB0001000,1.77,-3.2
HMDB0001003,-2.3,3.94
HMDB0001004,14.41,3.81
HMDB0001005,2.94,-3.8
HMDB0001007,4.06,5.0
HMDB0001008,3.87,5.86
HMDB0001009,NA,8.04
HMDB0001010,NA,4.46
HMDB0001011,0.82,4.01
HMDB0001013,2.85,-1.2
HMDB0001014,3.51,4.69
HMDB0001015,3.93,-1.4
HMDB0001016,1.79,-3.8
HMDB0001018,1.73,-3.5
HMDB0001020,NA,5.02
HMDB0001021,0.82,4.96
HMDB0001022,0.82,4.24
HMDB0001023,19.55,-0.81
HMDB0001024,1.02,NA
HMDB0001028,18.2,9.79
HMDB0001030,10.97,-3.0
HMDB0001031,1.23,-3.3
HMDB0001032,-1.4,-7.5
HMDB0001035,3.15,10.83
HMDB0001036,3.51,11.18
HMDB0001038,3.6,8.21
HMDB0001039,15.7,-1.8
HMDB0001041,0.82,4.01
HMDB0001043,4.82,NA
HMDB0001044,1.21,2.62
HMDB0001045,3.7,7.73
HMDB0001046,NA,4.79
HMDB0001047,0.68,-3.5
HMDB0001049,1.91,9.24
HMDB0001050,7.93,-5.9
HMDB0001051,12.84,-3.0
HMDB0001052,0.83,4.95
HMDB0001054,1.62,-3.0
HMDB0001056,3.37,2.09
HMDB0001057,0.82,3.88
HMDB0001058,0.89,-3.7
HMDB0001059,0.33,NA
HMDB0001060,10.27,-4.7
HMDB0001061,NA,NA
HMDB0001062,1.23,-0.79
HMDB0001063,4.13,-6.3
HMDB0001064,0.82,4.01
HMDB0001065,14.13,9.13
HMDB0001066,1.74,9.31
HMDB0001067,3.13,-2.0
HMDB0001068,1.22,-3.5
HMDB0001069,12.42,3.86
HMDB0001070,0.82,4.01
HMDB0001072,NA,-4.7
HMDB0001076,1.16,-3.0
HMDB0001078,1.22,-3.6
HMDB0001080,14.83,9.79
HMDB0001081,2.89,-3.6
HMDB0001083,3.3,8.73
HMDB0001084,4.09,1.89
HMDB0001085,4.65,-1.3
HMDB0001086,3.21,NA
HMDB0001087,11.31,-3.7
HMDB0001088,0.83,4.95
HMDB0001090,1.78,-2.9
HMDB0001091,13.55,8.63
HMDB0001093,19.96,-7.4
