hmdb_primary,pka_strongest_acidic,pka_strongest_basic
HMDB0087797,1.59,-3.4
HMDB0087798,1.59,-3.4
HMDB0087799,1.59,-3.4
HMDB0087800,1.59,-3.4
HMDB0087801,1.59,-3.4
HMDB0087802,1.59,-3.4
HMDB0087803,1.59,-3.4
HMDB0087804,1.59,-3.4
HMDB0087805,1.59,-3.4
HMDB0087806,1.59,-3.4
HMDB0087807,1.59,-3.4
HMDB0087808,1.59,-3.4
HMDB0087809,1.59,-3.4
HMDB0087810,1.59,-3.4
HMDB0087811,1.59,-3.4
HMDB0087812,1.59,-3.4
HMDB0087813,1.59,-3.4
HMDB0087814,1.59,-3.4
HMDB0087815,1.59,-3.4
HMDB0087816,1.59,-3.4
HMDB0087817,1.59,-3.4
HMDB0087818,1.59,-3.4
HMDB0087819,1.59,-3.4
HMDB0087820,1.59,-3.4
HMDB0087821,1.59,-3.4
HMDB0087822,1.59,-3.4
HMDB0087823,1.59,-3.4
HMDB0087824,1.59,-3.4
HMDB0087825,1.59,-3.4
HMDB0087826,1.59,-3.4
HMDB0087827,1.59,-3.4
HMDB0087828,1.59,-3.4
HMDB0087829,1.59,-3.4
HMDB0087830,1.59,-3.4
HMDB0087831,1.59,-3.4
HMDB0087832,1.59,-3.4
HMDB0087833,1.59,-3.4
HMDB0087834,1.59,-3.4
HMDB0087835,1.59,-3.4
HMDB0087836,1.59,-3.4
HMDB0087837,1.59,-3.4
HMDB0087838,1.59,-3.4
HMDB0087839,1.59,-3.4
HMDB0087840,1.59,-3.4
HMDB0087841,1.59,-3.4
HMDB0087842,1.59,-3.4
HMDB0087843,1.59,-3.4
HMDB0087844,1.59,-3.4
HMDB0087845,1.59,-3.4
HMDB0087846,1.59,-3.4
HMDB0087847,1.59,-3.4
HMDB0087848,1.59,-3.4
HMDB0087849,1.59,-3.4
HMDB0087850,1.59,-3.4
HMDB0087851,1.59,-3.4
HMDB0087852,1.59,-3.4
HMDB0087853,1.59,-3.4
HMDB0087854,1.59,-3.4
HMDB0087855,1.59,-3.4
HMDB0087856,1.59,-3.4
HMDB0087857,1.59,-3.4
HMDB0087858,1.59,-3.4
HMDB0087859,1.59,-3.4
HMDB0087860,1.59,-3.4
HMDB0087861,1.59,-3.4
HMDB0087862,1.59,-3.4
HMDB0087863,1.59,-3.4
HMDB0087864,1.59,-3.4
HMDB0087865,1.59,-3.4
HMDB0087866,1.59,-3.4
HMDB0087867,1.59,-3.4
HMDB0087868,1.59,-3.4
HMDB0087869,1.59,-3.4
HMDB0087870,1.59,-3.4
HMDB0087871,1.59,-3.4
HMDB0087872,1.59,-3.4
HMDB0087873,1.59,-3.4
HMDB0087874,1.59,-3.4
HMDB0087875,1.59,-3.4
HMDB0087876,1.59,-3.4
HMDB0087877,1.59,-3.4
HMDB0087878,1.59,-3.4
HMDB0087879,1.59,-3.4
HMDB0087880,1.59,-3.4
HMDB0087881,1.59,-3.4
HMDB0087882,1.59,-3.4
HMDB0087883,1.59,-3.4
HMDB0087884,1.59,-3.4
HMDB0087885,1.59,-3.4
HMDB0087886,1.59,-3.4
HMDB0087887,1.59,-3.4
HMDB0087888,1.59,-3.4
HMDB0087889,1.59,-3.4
HMDB0087890,1.59,-3.4
HMDB0087891,1.59,-3.4
HMDB0087892,1.59,-3.4
HMDB0087893,1.59,-3.4
HMDB0087894,1.59,-3.4
HMDB0087895,1.59,-3.4
HMDB0087896,1.59,-3.4
HMDB0087897,1.59,-3.4
HMDB0087898,1.59,-3.4
HMDB0087899,1.59,-3.4
HMDB0087900,1.59,-3.4
HMDB0087901,1.59,-3.4
HMDB0087902,1.59,-3.4
HMDB0087903,1.59,-3.4
HMDB0087904,1.59,-3.4
HMDB0087905,1.59,-3.4
HMDB0087906,1.59,-3.4
HMDB0087907,1.59,-3.4
HMDB0087908,1.59,-3.4
HMDB0087909,1.59,-3.4
HMDB0087910,1.59,-3.4
HMDB0087911,1.59,-3.4
HMDB0087912,1.59,-3.4
HMDB0087913,1.59,-3.4
HMDB0087914,1.59,-3.4
HMDB0087915,1.59,-3.4
HMDB0087916,1.59,-3.4
HMDB0087917,1.59,-3.4
HMDB0087918,1.59,-3.4
HMDB0087919,1.59,-3.4
HMDB0087920,1.59,-3.4
HMDB0087921,1.59,-3.4
HMDB0087922,1.59,-3.4
HMDB0087923,1.59,-3.4
HMDB0087924,1.59,-3.4
HMDB0087925,1.59,-3.4
HMDB0087926,1.59,-3.4
HMDB0087927,1.59,-3.4
HMDB0087928,1.59,-3.4
HMDB0087929,1.59,-3.4
HMDB0087930,1.59,-3.4
HMDB0087931,1.59,-3.4
HMDB0087932,1.59,-3.4
HMDB0087933,1.59,-3.4
HMDB0087934,1.59,-3.4
HMDB0087935,1.59,-3.4
HMDB0087936,1.59,-3.4
HMDB0087937,1.59,-3.4
HMDB0087938,1.59,-3.4
HMDB0087939,1.59,-3.4
HMDB0087940,1.59,-3.4
HMDB0087941,1.59,-3.4
HMDB0087942,1.59,-3.4
HMDB0087943,1.59,-3.4
HMDB0087944,1.59,-3.4
HMDB0087945,1.59,-3.4
HMDB0087946,1.59,-3.4
HMDB0087947,1.59,-3.4
HMDB0087948,1.59,-3.4
HMDB0087949,1.59,-3.4
HMDB0087950,1.59,-3.4
HMDB0087951,1.59,-3.4
HMDB0087952,1.59,-3.4
HMDB0087953,1.59,-3.4
HMDB0087954,1.59,-3.4
HMDB0087955,1.59,-3.4
HMDB0087956,1.59,-3.4
HMDB0087957,1.59,-3.4
HMDB0087958,1.59,-3.4
HMDB0087959,1.59,-3.4
HMDB0087960,1.59,-3.4
HMDB0087961,1.59,-3.4
HMDB0087962,1.59,-3.4
HMDB0087963,1.59,-3.4
HMDB0087964,1.59,-3.4
HMDB0087965,1.59,-3.4
HMDB0087966,1.59,-3.4
HMDB0087967,1.59,-3.4
HMDB0087968,1.59,-3.4
HMDB0087969,1.59,-3.4
HMDB0087970,1.59,-3.4
HMDB0087971,1.59,-3.4
HMDB0087972,1.59,-3.4
HMDB0087973,1.59,-3.4
HMDB0087974,1.59,-3.4
HMDB0087975,1.59,-3.4
HMDB0087976,1.59,-3.4
HMDB0087977,1.59,-3.4
HMDB0087978,1.59,-3.4
HMDB0087979,1.59,-3.4
HMDB0087980,1.59,-3.4
HMDB0087981,1.59,-3.4
HMDB0087982,1.59,-3.4
HMDB0087983,1.59,-3.4
HMDB0087984,1.59,-3.4
HMDB0087985,1.59,-3.4
HMDB0087986,1.59,-3.4
HMDB0087987,1.59,-3.4
HMDB0087988,1.59,-3.4
HMDB0087989,1.59,-3.4
HMDB0087990,1.59,-3.4
HMDB0087991,1.59,-3.4
HMDB0087992,1.59,-3.4
HMDB0087993,1.59,-3.4
HMDB0087994,1.59,-3.4
HMDB0087995,1.59,-3.4
HMDB0087996,1.59,-3.4
HMDB0087997,1.59,-3.4
HMDB0087998,1.59,-3.4
HMDB0087999,1.59,-3.4
HMDB0088000,1.59,-3.4
HMDB0088001,1.59,-3.4
HMDB0088002,1.59,-3.4
HMDB0088003,1.59,-3.4
HMDB0088004,1.59,-3.4
HMDB0088005,1.59,-3.4
HMDB0088006,1.59,-3.4
HMDB0088007,1.59,-3.4
HMDB0088008,1.59,-3.4
HMDB0088009,1.59,-3.4
HMDB0088010,1.59,-3.4
HMDB0088011,1.59,-3.4
HMDB0088012,1.59,-3.4
HMDB0088013,1.59,-3.4
HMDB0088014,1.59,-3.4
HMDB0088015,1.59,-3.4
HMDB0088016,1.59,-3.4
HMDB0088017,1.59,-3.4
HMDB0088018,1.59,-3.4
HMDB0088019,1.59,-3.4
HMDB0088020,1.59,-3.4
HMDB0088021,1.59,-3.4
HMDB0088022,1.59,-3.4
HMDB0088023,1.59,-3.4
HMDB0088024,1.59,-3.4
HMDB0088025,1.59,-3.4
HMDB0088026,1.59,-3.4
HMDB0088027,1.59,-3.4
HMDB0088028,1.59,-3.4
HMDB0088029,1.59,-3.4
HMDB0088030,1.59,-3.4
HMDB0088031,1.59,-3.4
HMDB0088032,1.59,-3.4
HMDB0088033,1.59,-3.4
HMDB0088034,1.59,-3.4
HMDB0088035,1.59,-3.4
HMDB0088036,1.59,-3.4
HMDB0088037,1.59,-3.4
HMDB0088038,1.59,-3.4
HMDB0088039,1.59,-3.4
HMDB0088040,1.59,-3.4
HMDB0088041,1.59,-3.4
HMDB0088042,1.59,-3.4
HMDB0088043,1.59,-3.4
HMDB0088044,1.59,-3.4
HMDB0088045,1.59,-3.4
HMDB0088046,1.59,-3.4
HMDB0088047,1.59,-3.4
HMDB0088048,1.59,-3.4
HMDB0088049,1.59,-3.4
HMDB0088050,1.59,-3.4
HMDB0088051,1.59,-3.4
HMDB0088052,1.59,-3.4
HMDB0088053,1.59,-3.4
HMDB0088054,1.59,-3.4
HMDB0088055,1.59,-3.4
HMDB0088056,1.59,-3.4
HMDB0088057,1.59,-3.4
HMDB0088058,1.59,-3.4
HMDB0088059,1.59,-3.4
HMDB0088060,1.59,-3.4
HMDB0088061,1.59,-3.4
HMDB0088062,1.59,-3.4
HMDB0088063,1.59,-3.4
HMDB0088064,1.59,-3.4
HMDB0088065,1.59,-3.4
HMDB0088066,1.59,-3.4
HMDB0088067,1.59,-3.4
HMDB0088068,1.59,-3.4
HMDB0088069,1.59,-3.4
HMDB0088070,1.59,-3.4
HMDB0088071,1.59,-3.4
HMDB0088072,1.59,-3.4
HMDB0088073,1.59,-3.4
HMDB0088074,1.59,-3.4
HMDB0088075,1.59,-3.4
HMDB0088076,1.59,-3.4
HMDB0088077,1.59,-3.4
HMDB0088078,1.59,-3.4
HMDB0088079,1.59,-3.4
HMDB0088080,1.59,-3.4
HMDB0088081,1.59,-3.4
HMDB0088082,1.59,-3.4
HMDB0088083,1.59,-3.4
HMDB0088084,1.59,-3.4
HMDB0088085,1.59,-3.4
HMDB0088086,1.59,-3.4
HMDB0088087,1.59,-3.4
HMDB0088088,1.59,-3.4
HMDB0088089,1.59,-3.4
HMDB0088090,1.59,-3.4
HMDB0088091,1.59,-3.4
HMDB0088092,1.59,-3.4
HMDB0088093,1.59,-3.4
HMDB0088094,1.59,-3.4
HMDB0088095,1.59,-3.4
HMDB0088096,1.59,-3.4
HMDB0088097,1.59,-3.4
HMDB0088098,1.59,-3.4
HMDB0088099,1.59,-3.4
HMDB0088100,1.59,-3.4
HMDB0088101,1.59,-3.4
HMDB0088102,1.59,-3.4
HMDB0088103,1.59,-3.4
HMDB0088104,1.59,-3.4
HMDB0088105,1.59,-3.4
HMDB0088106,1.59,-3.4
HMDB0088107,1.59,-3.4
HMDB0088108,1.59,-3.4
HMDB0088109,1.59,-3.4
HMDB0088110,1.59,-3.4
HMDB0088111,1.59,-3.4
HMDB0088112,1.59,-3.4
HMDB0088113,1.59,-3.4
HMDB0088114,1.59,-3.4
HMDB0088115,1.59,-3.4
HMDB0088116,1.59,-3.4
HMDB0088117,1.59,-3.4
HMDB0088118,1.59,-3.4
HMDB0088119,1.59,-3.4
HMDB0088120,1.59,-3.4
HMDB0088121,1.59,-3.4
HMDB0088122,1.59,-3.4
HMDB0088123,1.59,-3.4
HMDB0088124,1.59,-3.4
HMDB0088125,1.59,-3.4
HMDB0088126,1.59,-3.4
HMDB0088127,1.59,-3.4
HMDB0088128,1.59,-3.4
HMDB0088129,1.59,-3.4
HMDB0088130,1.59,-3.4
HMDB0088131,1.59,-3.4
HMDB0088132,1.59,-3.4
HMDB0088133,1.59,-3.4
HMDB0088134,1.59,-3.4
HMDB0088135,1.59,-3.4
HMDB0088136,1.59,-3.4
HMDB0088137,1.59,-3.4
HMDB0088138,1.59,-3.4
HMDB0088139,1.59,-3.4
HMDB0088140,1.59,-3.4
HMDB0088141,1.59,-3.4
HMDB0088142,1.59,-3.4
HMDB0088143,1.59,-3.4
HMDB0088144,1.59,-3.4
HMDB0088145,1.59,-3.4
HMDB0088146,1.59,-3.4
HMDB0088147,1.59,-3.4
HMDB0088148,1.59,-3.4
HMDB0088149,1.59,-3.4
HMDB0088150,1.59,-3.4
HMDB0088151,1.59,-3.4
HMDB0088152,1.59,-3.4
HMDB0088153,1.59,-3.4
HMDB0088154,1.59,-3.4
HMDB0088155,1.59,-3.4
HMDB0088156,1.59,-3.4
HMDB0088157,1.59,-3.4
HMDB0088158,1.59,-3.4
HMDB0088159,1.59,-3.4
HMDB0088160,1.59,-3.4
HMDB0088161,1.59,-3.4
HMDB0088162,1.59,-3.4
HMDB0088163,1.59,-3.4
HMDB0088164,1.59,-3.4
HMDB0088165,1.59,-3.4
HMDB0088166,1.59,-3.4
HMDB0088167,1.59,-3.4
HMDB0088168,1.59,-3.4
HMDB0088169,1.59,-3.4
HMDB0088170,1.59,-3.4
HMDB0088171,1.59,-3.4
HMDB0088172,1.59,-3.4
HMDB0088173,1.59,-3.4
HMDB0088174,1.59,-3.4
HMDB0088175,1.59,-3.4
HMDB0088176,1.59,-3.4
HMDB0088177,1.59,-3.4
HMDB0088178,1.59,-3.4
HMDB0088179,1.59,-3.4
HMDB0088180,1.59,-3.4
HMDB0088181,1.59,-3.4
HMDB0088182,1.59,-3.4
HMDB0088183,1.59,-3.4
HMDB0088184,1.59,-3.4
HMDB0088185,1.59,-3.4
HMDB0088186,1.59,-3.4
HMDB0088187,1.59,-3.4
HMDB0088188,1.59,-3.4
HMDB0088189,1.59,-3.4
HMDB0088190,1.59,-3.4
HMDB0088191,1.59,-3.4
HMDB0088192,1.59,-3.4
HMDB0088193,1.59,-3.4
HMDB0088194,1.59,-3.4
HMDB0088195,1.59,-3.4
HMDB0088196,1.59,-3.4
HMDB0088197,1.59,-3.4
HMDB0088198,1.59,-3.4
HMDB0088199,1.59,-3.4
HMDB0088200,1.59,-3.4
HMDB0088201,1.59,-3.4
HMDB0088202,1.59,-3.4
HMDB0088203,1.59,-3.4
HMDB0088204,1.59,-3.4
HMDB0088205,1.59,-3.4
HMDB0088206,1.59,-3.4
HMDB0088207,1.59,-3.4
HMDB0088208,1.59,-3.4
HMDB0088209,1.59,-3.4
HMDB0088210,1.59,-3.4
HMDB0088211,1.59,-3.4
HMDB0088212,1.59,-3.4
HMDB0088213,1.59,-3.4
HMDB0088214,1.59,-3.4
HMDB0088215,1.59,-3.4
HMDB0088216,1.59,-3.4
HMDB0088217,1.59,-3.4
HMDB0088218,1.59,-3.4
HMDB0088219,1.59,-3.4
HMDB0088220,1.59,-3.4
HMDB0088221,1.59,-3.4
HMDB0088222,1.59,-3.4
HMDB0088223,1.59,-3.4
HMDB0088224,1.59,-3.4
HMDB0088225,1.59,-3.4
HMDB0088226,1.59,-3.4
HMDB0088227,1.59,-3.4
HMDB0088228,1.59,-3.4
HMDB0088229,1.59,-3.4
HMDB0088230,1.59,-3.4
HMDB0088231,1.59,-3.4
HMDB0088232,1.59,-3.4
HMDB0088233,1.59,-3.4
HMDB0088234,1.59,-3.4
HMDB0088235,1.59,-3.4
HMDB0088236,1.59,-3.4
HMDB0088237,1.59,-3.4
HMDB0088238,1.59,-3.4
HMDB0088239,1.59,-3.4
HMDB0088240,1.59,-3.4
HMDB0088241,1.59,-3.4
HMDB0088242,1.59,-3.4
HMDB0088243,1.59,-3.4
HMDB0088244,1.59,-3.4
HMDB0088245,1.59,-3.4
HMDB0088246,1.59,-3.4
HMDB0088247,1.59,-3.4
HMDB0088248,1.59,-3.4
HMDB0088249,1.59,-3.4
HMDB0088250,1.59,-3.4
HMDB0088251,1.59,-3.4
HMDB0088252,1.59,-3.4
HMDB0088253,1.59,-3.4
HMDB0088254,1.59,-3.4
HMDB0088255,1.59,-3.4
HMDB0088256,1.59,-3.4
HMDB0088257,1.59,-3.4
HMDB0088258,1.59,-3.4
HMDB0088259,1.59,-3.4
HMDB0088260,1.59,-3.4
HMDB0088261,1.59,-3.4
HMDB0088262,1.59,-3.4
HMDB0088263,1.59,-3.4
HMDB0088264,1.59,-3.4
HMDB0088265,1.59,-3.4
HMDB0088266,1.59,-3.4
HMDB0088267,1.59,-3.4
HMDB0088268,1.59,-3.4
HMDB0088269,1.59,-3.4
HMDB0088270,1.59,-3.4
HMDB0088271,1.59,-3.4
HMDB0088272,1.59,-3.4
HMDB0088273,1.59,-3.4
HMDB0088274,1.59,-3.4
HMDB0088275,1.59,-3.4
HMDB0088276,1.59,-3.4
HMDB0088277,1.59,-3.4
HMDB0088278,1.59,-3.4
HMDB0088279,1.59,-3.4
HMDB0088280,1.59,-3.4
HMDB0088281,1.59,-3.4
HMDB0088282,1.59,-3.4
HMDB0088283,1.59,-3.4
HMDB0088284,1.59,-3.4
HMDB0088285,1.59,-3.4
HMDB0088286,1.59,-3.4
HMDB0088287,1.59,-3.4
HMDB0088288,1.59,-3.4
HMDB0088289,1.59,-3.4
HMDB0088290,1.59,-3.4
HMDB0088291,1.59,-3.4
HMDB0088292,1.59,-3.4
HMDB0088293,1.59,-3.4
HMDB0088294,1.59,-3.4
HMDB0088295,1.59,-3.4
HMDB0088296,1.59,-3.4
HMDB0088297,1.59,-3.4
HMDB0088298,1.59,-3.4
HMDB0088299,1.59,-3.4
HMDB0088300,1.59,-3.4
HMDB0088301,1.59,-3.4
HMDB0088302,1.59,-3.4
HMDB0088303,1.59,-3.4
HMDB0088304,1.59,-3.4
HMDB0088305,1.59,-3.4
HMDB0088306,1.59,-3.4
HMDB0088307,1.59,-3.4
HMDB0088308,1.59,-3.4
HMDB0088309,1.59,-3.4
HMDB0088310,1.59,-3.4
HMDB0088311,1.59,-3.4
HMDB0088312,1.59,-3.4
HMDB0088313,1.59,-3.4
HMDB0088314,1.59,-3.4
HMDB0088315,1.59,-3.4
HMDB0088316,1.59,-3.4
HMDB0088317,1.59,-3.4
HMDB0088318,1.59,-3.4
HMDB0088319,1.59,-3.4
HMDB0088320,1.59,-3.4
HMDB0088321,1.59,-3.4
HMDB0088322,1.59,-3.4
HMDB0088323,1.59,-3.4
HMDB0088324,1.59,-3.4
HMDB0088325,1.59,-3.4
HMDB0088326,1.59,-3.4
HMDB0088327,1.59,-3.4
HMDB0088328,1.59,-3.4
HMDB0088329,1.59,-3.4
HMDB0088330,1.59,-3.4
HMDB0088331,1.59,-3.4
HMDB0088332,1.59,-3.4
HMDB0088333,1.59,-3.4
HMDB0088334,1.59,-3.4
HMDB0088335,1.59,-3.4
HMDB0088336,1.59,-3.4
HMDB0088337,1.59,-3.4
HMDB0088338,1.59,-3.4
HMDB0088339,1.59,-3.4
HMDB0088340,1.59,-3.4
HMDB0088341,1.59,-3.4
HMDB0088342,1.59,-3.4
HMDB0088343,1.59,-3.4
HMDB0088344,1.59,-3.4
HMDB0088345,1.59,-3.4
HMDB0088346,1.59,-3.4
HMDB0088347,1.59,-3.4
HMDB0088348,1.59,-3.4
HMDB0088349,1.59,-3.4
HMDB0088350,1.59,-3.4
HMDB0088351,1.59,-3.4
HMDB0088352,1.59,-3.4
HMDB0088353,1.59,-3.4
HMDB0088354,1.59,-3.4
HMDB0088355,1.59,-3.4
HMDB0088356,1.59,-3.4
HMDB0088357,1.59,-3.4
HMDB0088358,1.59,-3.4
HMDB0088359,1.59,-3.4
HMDB0088360,1.59,-3.4
HMDB0088361,1.59,-3.4
HMDB0088362,1.59,-3.4
HMDB0088363,1.59,-3.4
HMDB0088364,1.59,-3.4
HMDB0088365,1.59,-3.4
HMDB0088366,1.59,-3.4
HMDB0088367,1.59,-3.4
HMDB0088368,1.59,-3.4
HMDB0088369,1.59,-3.4
HMDB0088370,1.59,-3.4
HMDB0088371,1.59,-3.4
HMDB0088372,1.59,-3.4
HMDB0088373,1.59,-3.4
HMDB0088374,1.59,-3.4
HMDB0088375,1.59,-3.4
HMDB0088376,1.59,-3.4
HMDB0088377,1.59,-3.4
HMDB0088378,1.59,-3.4
HMDB0088379,1.59,-3.4
HMDB0088380,1.59,-3.4
HMDB0088381,1.59,-3.4
HMDB0088382,1.59,-3.4
HMDB0088383,1.59,-3.4
HMDB0088384,1.59,-3.4
HMDB0088385,1.59,-3.4
HMDB0088386,1.59,-3.4
HMDB0088387,1.59,-3.4
HMDB0088388,1.59,-3.4
HMDB0088389,1.59,-3.4
HMDB0088390,1.59,-3.4
HMDB0088391,1.59,-3.4
HMDB0088392,1.59,-3.4
HMDB0088393,1.59,-3.4
HMDB0088394,1.59,-3.4
HMDB0088395,1.59,-3.4
HMDB0088396,1.59,-3.4
HMDB0088397,1.59,-3.4
HMDB0088398,1.59,-3.4
HMDB0088399,1.59,-3.4
HMDB0088400,1.59,-3.4
HMDB0088401,1.59,-3.4
HMDB0088402,1.59,-3.4
HMDB0088403,1.59,-3.4
HMDB0088404,1.59,-3.4
HMDB0088405,1.59,-3.4
HMDB0088406,1.59,-3.4
HMDB0088407,1.59,-3.4
HMDB0088408,1.59,-3.4
HMDB0088409,1.59,-3.4
HMDB0088410,1.59,-3.4
HMDB0088411,1.59,-3.4
HMDB0088412,1.59,-3.4
HMDB0088413,1.59,-3.4
HMDB0088414,1.59,-3.4
HMDB0088415,1.59,-3.4
HMDB0088416,1.59,-3.4
HMDB0088417,1.59,-3.4
HMDB0088418,1.59,-3.4
HMDB0088419,1.59,-3.4
HMDB0088420,1.59,-3.4
HMDB0088421,1.59,-3.4
HMDB0088422,1.59,-3.4
HMDB0088423,1.59,-3.4
HMDB0088424,1.59,-3.4
HMDB0088425,1.59,-3.4
HMDB0088426,1.59,-3.4
HMDB0088427,1.59,-3.4
HMDB0088428,1.59,-3.4
HMDB0088429,1.59,-3.4
HMDB0088430,1.59,-3.4
HMDB0088431,1.59,-3.4
HMDB0088432,1.59,-3.4
HMDB0088433,1.59,-3.4
HMDB0088434,1.59,-3.4
HMDB0088435,1.59,-3.4
HMDB0088436,1.59,-3.4
HMDB0088437,1.59,-3.4
HMDB0088438,1.59,-3.4
HMDB0088439,1.59,-3.4
HMDB0088440,1.59,-3.4
HMDB0088441,1.59,-3.4
HMDB0088442,1.59,-3.4
HMDB0088443,1.59,-3.4
HMDB0088444,1.59,-3.4
HMDB0088445,1.59,-3.4
HMDB0088446,1.59,-3.4
HMDB0088447,1.59,-3.4
HMDB0088448,1.59,-3.4
HMDB0088449,1.59,-3.4
HMDB0088450,1.59,-3.4
HMDB0088451,1.59,-3.4
HMDB0088452,1.59,-3.4
HMDB0088453,1.59,-3.4
HMDB0088454,1.59,-3.4
HMDB0088455,1.59,-3.4
HMDB0088456,1.59,-3.4
HMDB0088457,1.59,-3.4
HMDB0088458,1.59,-3.4
HMDB0088459,1.59,-3.4
HMDB0088460,1.59,-3.4
HMDB0088461,1.59,-3.4
HMDB0088462,1.59,-3.4
HMDB0088463,1.59,-3.4
HMDB0088464,1.59,-3.4
HMDB0088465,1.59,-3.4
HMDB0088466,1.59,-3.4
HMDB0088467,1.59,-3.4
HMDB0088468,1.59,-3.4
HMDB0088469,1.59,-3.4
HMDB0088470,1.59,-3.4
HMDB0088471,1.59,-3.4
HMDB0088472,1.59,-3.4
HMDB0088473,1.59,-3.4
HMDB0088474,1.59,-3.4
HMDB0088475,1.59,-3.4
HMDB0088476,1.59,-3.4
HMDB0088477,1.59,-3.4
HMDB0088478,1.59,-3.4
HMDB0088479,1.59,-3.4
HMDB0088480,1.59,-3.4
HMDB0088481,1.59,-3.4
HMDB0088482,1.59,-3.4
HMDB0088483,1.59,-3.4
HMDB0088484,1.59,-3.4
HMDB0088485,1.59,-3.4
HMDB0088486,1.59,-3.4
HMDB0088487,1.59,-3.4
HMDB0088488,1.59,-3.4
HMDB0088489,1.59,-3.4
HMDB0088490,1.59,-3.4
HMDB0088491,1.59,-3.4
HMDB0088492,1.59,-3.4
HMDB0088493,1.59,-3.4
HMDB0088494,1.59,-3.4
HMDB0088495,1.59,-3.4
HMDB0088496,1.59,-3.4
HMDB0088497,1.59,-3.4
HMDB0088498,1.59,-3.4
HMDB0088499,1.59,-3.4
HMDB0088500,1.59,-3.4
HMDB0088501,1.59,-3.4
HMDB0088502,1.59,-3.4
HMDB0088503,1.59,-3.4
HMDB0088504,1.59,-3.4
HMDB0088505,1.59,-3.4
HMDB0088506,1.59,-3.4
HMDB0088507,1.59,-3.4
HMDB0088508,1.59,-3.4
HMDB0088509,1.59,-3.4
HMDB0088510,1.59,-3.4
HMDB0088511,1.59,-3.4
HMDB0088512,1.59,-3.4
HMDB0088513,1.59,-3.4
HMDB0088514,1.59,-3.4
HMDB0088515,1.59,-3.4
HMDB0088516,1.59,-3.4
HMDB0088517,1.59,-3.4
HMDB0088518,1.59,-3.4
HMDB0088519,1.59,-3.4
HMDB0088520,1.59,-3.4
HMDB0088521,1.59,-3.4
HMDB0088522,1.59,-3.4
HMDB0088523,1.59,-3.4
HMDB0088524,1.59,-3.4
HMDB0088525,1.59,-3.4
HMDB0088526,1.59,-3.4
HMDB0088527,1.59,-3.4
HMDB0088528,1.59,-3.4
HMDB0088529,1.59,-3.4
HMDB0088530,1.59,-3.4
HMDB0088531,1.59,-3.4
HMDB0088532,1.59,-3.4
HMDB0088533,1.59,-3.4
HMDB0088534,1.59,-3.4
HMDB0088535,1.59,-3.4
HMDB0088536,1.59,-3.4
HMDB0088537,1.59,-3.4
HMDB0088538,1.59,-3.4
HMDB0088539,1.59,-3.4
HMDB0088540,1.59,-3.4
HMDB0088541,1.59,-3.4
HMDB0088542,1.59,-3.4
HMDB0088543,1.59,-3.4
HMDB0088544,1.59,-3.4
HMDB0088545,1.59,-3.4
HMDB0088546,1.59,-3.4
HMDB0088547,1.59,-3.4
HMDB0088548,1.59,-3.4
HMDB0088549,1.59,-3.4
HMDB0088550,1.59,-3.4
HMDB0088551,1.59,-3.4
HMDB0088552,1.59,-3.4
HMDB0088553,1.59,-3.4
HMDB0088554,1.59,-3.4
HMDB0088555,1.59,-3.4
HMDB0088556,1.59,-3.4
HMDB0088557,1.59,-3.4
HMDB0088558,1.59,-3.4
HMDB0088559,1.59,-3.4
HMDB0088560,1.59,-3.4
HMDB0088561,1.59,-3.4
HMDB0088562,1.59,-3.4
HMDB0088563,1.59,-3.4
HMDB0088564,1.59,-3.4
HMDB0088565,1.59,-3.4
HMDB0088566,1.59,-3.4
HMDB0088567,1.59,-3.4
HMDB0088568,1.59,-3.4
HMDB0088569,1.59,-3.4
HMDB0088570,1.59,-3.4
HMDB0088571,1.59,-3.4
HMDB0088572,1.59,-3.4
HMDB0088573,1.59,-3.4
HMDB0088574,1.59,-3.4
HMDB0088575,1.59,-3.4
HMDB0088576,1.59,-3.4
HMDB0088577,1.59,-3.4
HMDB0088578,1.59,-3.4
HMDB0088579,1.59,-3.4
HMDB0088580,1.59,-3.4
HMDB0088581,1.59,-3.4
HMDB0088582,1.59,-3.4
HMDB0088583,1.59,-3.4
HMDB0088584,1.59,-3.4
HMDB0088585,1.59,-3.4
HMDB0088586,1.59,-3.4
HMDB0088587,1.59,-3.4
HMDB0088588,1.59,-3.4
HMDB0088589,1.59,-3.4
HMDB0088590,1.59,-3.4
HMDB0088591,1.59,-3.4
HMDB0088592,1.59,-3.4
HMDB0088593,1.59,-3.4
HMDB0088594,1.59,-3.4
HMDB0088595,1.59,-3.4
HMDB0088596,1.59,-3.4
HMDB0088597,1.59,-3.4
HMDB0088598,1.59,-3.4
HMDB0088599,1.59,-3.4
HMDB0088600,1.59,-3.4
HMDB0088601,1.59,-3.4
HMDB0088602,1.59,-3.4
HMDB0088603,1.59,-3.4
HMDB0088604,1.59,-3.4
HMDB0088605,1.59,-3.4
HMDB0088606,1.59,-3.4
HMDB0088607,1.59,-3.4
HMDB0088608,1.59,-3.4
HMDB0088609,1.59,-3.4
HMDB0088610,1.59,-3.4
HMDB0088611,1.59,-3.4
HMDB0088612,1.59,-3.4
HMDB0088613,1.59,-3.4
HMDB0088614,1.59,-3.4
HMDB0088615,1.59,-3.4
HMDB0088616,1.59,-3.4
HMDB0088617,1.59,-3.4
