iter	Passed	Remaining
640	2656	1487
641	2659	1483
642	2663	1478
643	2666	1474
644	2670	1469
645	2674	1465
646	2678	1461
647	2681	1456
648	2685	1452
649	2688	1447
650	2692	1443
651	2696	1439
652	2700	1435
653	2704	1430
654	2707	1426
655	2711	1421
656	2714	1417
657	2717	1412
658	2721	1408
659	2724	1403
660	2727	1399
661	2731	1394
662	2734	1390
663	2738	1385
664	2741	1381
665	2744	1376
666	2748	1372
667	2751	1367
668	2755	1363
669	2758	1358
670	2761	1354
671	2765	1349
672	2768	1345
673	2772	1340
674	2775	1336
675	2778	1331
676	2782	1327
677	2785	1323
678	2789	1318
679	2792	1314
680	2795	1309
681	2799	1305
682	2802	1300
683	2806	1296
684	2809	1292
685	2813	1287
686	2816	1283
687	2819	1278
688	2823	1274
689	2827	1270
690	2830	1265
691	2833	1261
692	2837	1256
693	2840	1252
694	2844	1248
695	2847	1243
696	2850	1239
697	2854	1234
698	2857	1230
699	2861	1226
700	2864	1221
701	2867	1217
702	2871	1213
703	2874	1208
704	2878	1204
705	2881	1200
706	2885	1195
707	2888	1191
708	2892	1187
709	2895	1182
710	2899	1178
711	2902	1174
712	2905	1169
713	2909	1165
714	2912	1160
715	2915	1156
716	2919	1152
717	2922	1147
718	2926	1143
719	2929	1139
720	2932	1134
721	2936	1130
722	2939	1126
723	2943	1121
724	2946	1117
725	2950	1113
726	2953	1109
727	2956	1104
728	2960	1100
729	2963	1096
730	2967	1091
731	2970	1087
732	2974	1083
733	2977	1079
734	2980	1074
735	2984	1070
736	2987	1066
737	2991	1061
738	2994	1057
739	2997	1053
740	3001	1049
741	3004	1044
742	3008	1040
743	3011	1036
744	3014	1031
745	3018	1027
746	3021	1023
747	3025	1019
748	3028	1014
749	3032	1010
750	3035	1006
751	3038	1002
752	3042	997
753	3045	993
754	3049	989
755	3052	985
756	3056	981
757	3059	976
758	3062	972
759	3066	968
760	3069	964
761	3073	959
762	3076	955
763	3079	951
764	3083	947
765	3086	942
766	3090	938
767	3093	934
768	3096	930
769	3100	926
770	3103	921
771	3107	917
772	3110	913
773	3114	909
774	3117	905
775	3121	900
776	3124	896
777	3128	892
778	3131	888
779	3135	884
780	3138	880
781	3142	875
782	3145	871
783	3149	867
784	3152	863
785	3155	859
786	3159	855
787	3162	850
788	3166	846
789	3169	842
790	3172	838
791	3176	834
792	3179	829
793	3182	825
794	3186	821
795	3189	817
796	3193	813
797	3196	809
798	3200	805
799	3203	800
800	3206	796
801	3210	792
802	3213	788
803	3216	784
804	3220	780
805	3223	775
806	3227	771
807	3230	767
808	3234	763
809	3237	759
810	3240	755
811	3244	751
812	3247	746
813	3250	742
814	3254	738
815	3257	734
816	3261	730
817	3264	726
818	3268	722
819	3271	718
820	3274	713
821	3278	709
822	3281	705
823	3284	701
824	3288	697
825	3291	693
826	3294	689
827	3298	685
828	3301	681
829	3304	676
830	3308	672
831	3311	668
832	3314	664
833	3318	660
834	3321	656
835	3325	652
836	3328	648
837	3332	644
838	3335	640
839	3339	636
840	3342	632
841	3346	627
842	3349	623
843	3353	619
844	3356	615
845	3359	611
846	3363	607
847	3366	603
848	3369	599
849	3373	595
850	3376	591
851	3379	587
852	3383	583
853	3386	578
854	3389	574
855	3393	570
856	3396	566
857	3400	562
858	3403	558
859	3407	554
860	3410	550
861	3413	546
862	3417	542
863	3420	538
864	3423	534
865	3427	530
866	3430	526
867	3433	522
868	3437	518
869	3440	514
870	3443	510
871	3447	506
872	3450	502
873	3454	498
874	3457	493
875	3461	489
876	3464	485
877	3467	481
878	3471	477
879	3474	473
880	3477	469
881	3481	465
882	3484	461
883	3487	457
884	3491	453
885	3494	449
886	3497	445
887	3501	441
888	3504	437
889	3507	433
890	3510	429
891	3514	425
892	3517	421
893	3520	417
894	3524	413
895	3527	409
896	3530	405
897	3534	401
898	3537	397
899	3541	393
900	3544	389
901	3547	385
902	3551	381
903	3554	377
904	3557	373
905	3561	369
906	3564	365
907	3567	361
908	3571	357
909	3574	353
910	3577	349
911	3581	345
912	3584	341
913	3587	337
914	3591	333
915	3594	329
916	3597	325
917	3601	321
918	3604	317
919	3607	313
920	3611	309
921	3614	305
922	3617	301
923	3621	297
924	3624	293
925	3627	289
926	3631	285
927	3634	281
928	3637	278
929	3641	274
930	3644	270
931	3647	266
932	3651	262
933	3654	258
934	3657	254
935	3661	250
936	3664	246
937	3667	242
938	3671	238
939	3674	234
940	3677	230
941	3680	226
942	3684	222
943	3687	218
944	3690	214
945	3694	210
946	3697	206
947	3700	203
948	3704	199
949	3707	195
950	3710	191
951	3714	187
952	3717	183
953	3720	179
954	3724	175
955	3727	171
956	3730	167
957	3734	163
958	3737	159
959	3740	155
960	3743	151
961	3747	148
962	3750	144
963	3753	140
964	3756	136
965	3760	132
966	3763	128
967	3766	124
968	3770	120
969	3773	116
970	3776	112
971	3780	108
972	3783	104
973	3786	101
974	3790	97
975	3793	93
976	3796	89
977	3800	85
978	3804	81
979	3807	77
980	3811	73
981	3815	69
982	3818	66
983	3821	62
984	3825	58
985	3828	54
986	3832	50
987	3835	46
988	3839	42
989	3843	38
990	3846	34
991	3850	31
992	3854	27
993	3858	23
994	3861	19
995	3865	15
996	3868	11
997	3872	7
998	3875	3
999	3878	0
