hmdb_primary,kegg_id
HMDB0000489,C04540
HMDB0000490,C04373
HMDB0000491,C03465
HMDB0000492,C00698
HMDB0000493,C12525
HMDB0000494,NA
HMDB0000495,C07632
HMDB0000496,C03033
HMDB0000497,NA
HMDB0000498,NA
HMDB0000499,NA
HMDB0000500,C00156
HMDB0000501,NA
HMDB0000502,NA
HMDB0000503,NA
HMDB0000505,C17737
HMDB0000506,C17647
HMDB0000508,C00474
HMDB0000509,NA
HMDB0000510,C00956
HMDB0000511,C01571
HMDB0000512,C03519
HMDB0000513,C01571
HMDB0000514,NA
HMDB0000517,C00062
HMDB0000518,C02528
HMDB0000520,NA
HMDB0000521,NA
HMDB0000522,NA
HMDB0000523,NA
HMDB0000524,NA
HMDB0000525,NA
HMDB0000526,NA
HMDB0000527,NA
HMDB0000528,C00337
HMDB0000529,NA
HMDB0000530,NA
HMDB0000531,NA
HMDB0000532,NA
HMDB0000534,NA
HMDB0000535,C01585
HMDB0000536,C03794
HMDB0000538,C00002
HMDB0000539,C00878
HMDB0000540,NA
HMDB0000541,NA
HMDB0000542,NA
HMDB0000543,NA
HMDB0000544,NA
HMDB0000545,NA
HMDB0000546,NA
HMDB0000547,C00305
HMDB0000548,NA
HMDB0000549,C01770
HMDB0000550,NA
HMDB0000551,NA
HMDB0000552,NA
HMDB0000553,NA
HMDB0000554,NA
HMDB0000555,NA
HMDB0000556,NA
HMDB0000557,NA
HMDB0000558,NA
HMDB0000559,NA
HMDB0000560,NA
HMDB0000561,C02094
HMDB0000562,C00791
HMDB0000563,C05607
HMDB0000564,C00157
HMDB0000565,C00880
HMDB0000567,C10438
HMDB0000568,C01904
HMDB0000569,NA
HMDB0000570,C05770
HMDB0000572,NA
HMDB0000573,C01712
HMDB0000574,C00097
HMDB0000575,C01817
HMDB0000576,NA
HMDB0000577,NA
HMDB0000579,NA
HMDB0000580,C00607
HMDB0000582,NA
HMDB0000583,NA
HMDB0000585,NA
HMDB0000586,C00238
HMDB0000588,C01330
HMDB0000590,NA
HMDB0000592,C04132
HMDB0000593,NA
HMDB0000594,NA
HMDB0000595,C01353
HMDB0000596,C03108
HMDB0000598,C00087
HMDB0000599,C19368
HMDB0000600,C05547
HMDB0000601,NA
HMDB0000603,NA
HMDB0000606,C01087
HMDB0000607,C02823
HMDB0000608,C00175
HMDB0000609,C00355
HMDB0000610,C15441
HMDB0000611,NA
HMDB0000613,NA
HMDB0000614,NA
HMDB0000617,C01546
HMDB0000618,C00199
HMDB0000619,C00695
HMDB0000620,C02214
HMDB0000621,C00309
HMDB0000622,NA
HMDB0000623,C02678
HMDB0000624,C03264
HMDB0000625,C00257
HMDB0000626,C04483
HMDB0000628,NA
