row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-02-19_12h11m04s_C42H81NO12S_+Na__36,74.70887353466345,37975.47873434767,0.75,0.75,0.0011552550014088476,0.00010229132569558102,3.8968124074507054e-05,3.8968124074507054e-05,75.0,2,2454.2878,0.0005892712,2454.2878,127622.97,2169.278,0.023860587,0.06362823,0.0,2454287.841796875,98722.03986322689
2021-02-19_12h11m04s_C42H81NO12S_+H__36,64.8789730105947,36765.368253732406,0.6538461538461539,0.6538461538461539,0.0010143702451394759,0.0,7.793624814901411e-05,7.793624814901411e-05,65.12573818073284,1,894.13275,0.0002178582,894.1255,46494.902,899.6596,0.0,0.023319973,0.00728207,107960.05877301596,894132.7514648438
2021-02-19_12h11m04s_C42H81NO12S_+K__36,0.0,0.0,0.0,0.0,0.0005071851225697379,0.0017389525368248773,3.8968124074507054e-05,3.8968124074507054e-05,0.0,2,0.0,0.0,-0.007459355,0.0,0.0,0.91400015,0.0073125632,0.007459355,0.0,0.0
2021-03-05_15h01m51s_C42H81NO12S_+Na__36,5.769230769230769,13037.109375,0.057692307692307696,0.057692307692307696,0.00026174584478471405,0.0007160392798690671,0.0,0.0,5.769230769230769,3,13.037109,2.6894168e-06,13.037109,677.9297,53.275738,0.418088,0.0,0.0,13037.109375,31.108286837926972
2021-03-05_15h01m51s_C42H81NO12S_+H__36,0.0,0.0,0.0,0.0,5.234916895694281e-05,0.00020458265139116204,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.058530398,0.0,0.0,0.0,0.0
2021-03-08_10h38m53s_C42H81NO12S_+Na__36,0.0,0.0,0.0,0.0,0.001893939393939394,0.006546644844517185,0.0001879416629078334,0.0001879416629078334,0.0,2,0.0,0.0,-0.32590944,0.0,0.0,231.58527,0.33541325,0.32590944,0.0,0.0
2021-03-24_21h05m49s_C42H81NO12S_+Na__36,30.76923076923077,130081.61926269531,0.3076923076923077,0.3076923076923077,0.00046128120855676644,0.0,0.0,0.0,30.76923076923077,1,130.08162,3.3394124e-05,130.08162,6764.244,214.53539,0.0,0.0,0.0,130081.61926269531,130081.61926269531
2021-03-24_21h05m49s_C42H81NO12S_+H__36,3.8461538461538463,12620.829582214355,0.038461538461538464,0.038461538461538464,5.7660151069595805e-05,0.0,0.0,0.0,3.8461538461538463,1,12.62083,3.1227364e-06,12.62083,656.28314,66.33612,0.0,0.0,0.0,12620.829582214355,12620.829582214355
2021-03-24_21h05m49s_C42H81NO12S_+K__36,0.0,0.0,0.0,0.0,0.00011532030213919161,0.00040933278755628325,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.13334025,0.0,0.0,0.0,0.0
2021-04-11_21h56m24s_C42H81NO12S_+K__36,0.0,0.0,0.0,0.0,2.7548209366391185e-05,0.00010241704219582139,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.026854979,0.0,0.0,0.0,0.0
